# x_m,y_m,w_tr_right_m,w_tr_left_m
0.000,0.000,4.0,4.0
5.000,2.000,4.0,4.0
10.000,6.000,4.0,4.0
12.000,12.000,4.0,4.0
11.000,18.000,4.0,4.0
7.000,22.000,4.0,4.0
2.000,24.000,4.0,4.0
-3.000,23.000,4.0,4.0
-7.000,20.000,4.0,4.0
-9.000,15.000,4.0,4.0
-8.000,10.000,4.0,4.0
-4.000,7.000,4.0,4.0
1.000,6.000,4.0,4.0
6.000,8.000,4.0,4.0
10.000,12.000,4.0,4.0
12.000,17.000,4.0,4.0
11.000,22.000,4.0,4.0
7.000,26.000,4.0,4.0
1.000,27.000,4.0,4.0
-5.000,25.000,4.0,4.0
-10.000,21.000,4.0,4.0
-13.000,15.000,4.0,4.0
-14.000,9.000,4.0,4.0
-12.000,3.000,4.0,4.0
-7.000,-1.000,4.0,4.0
-1.000,-2.000,4.0,4.0
4.000,-1.000,4.0,4.0
8.000,2.000,4.0,4.0
11.000,7.000,4.0,4.0
12.000,12.000,4.0,4.0
11.000,18.000,4.0,4.0
8.000,23.000,4.0,4.0
3.000,26.000,4.0,4.0
-3.000,27.000,4.0,4.0
-9.000,25.000,4.0,4.0
-13.000,21.000,4.0,4.0
-15.000,16.000,4.0,4.0
-15.000,10.000,4.0,4.0
-13.000,4.000,4.0,4.0
-9.000,-1.000,4.0,4.0
-3.000,-4.000,4.0,4.0
3.000,-5.000,4.0,4.0
8.000,-3.000,4.0,4.0
12.000,1.000,4.0,4.0
14.000,6.000,4.0,4.0
14.000,12.000,4.0,4.0
13.000,17.000,4.0,4.0
10.000,22.000,4.0,4.0
5.000,25.000,4.0,4.0
0.000,26.000,4.0,4.0
-6.000,25.000,4.0,4.0
-11.000,22.000,4.0,4.0
-14.000,18.000,4.0,4.0
-15.000,13.000,4.0,4.0
-14.000,7.000,4.0,4.0
-11.000,1.000,4.0,4.0
-6.000,-3.000,4.0,4.0
-1.000,-4.000,4.0,4.0
4.000,-3.000,4.0,4.0
8.000,0.000,4.0,4.0
11.000,4.000,4.0,4.0
12.000,9.000,4.0,4.0
11.000,15.000,4.0,4.0
8.000,20.000,4.0,4.0
3.000,23.000,4.0,4.0
-3.000,24.000,4.0,4.0
-8.000,22.000,4.0,4.0
-12.000,18.000,4.0,4.0
-14.000,13.000,4.0,4.0
-13.000,7.000,4.0,4.0
-9.000,2.000,4.0,4.0
-4.000,0.000,4.0,4.0
0.000,0.000,4.0,4.0
